Team1	Score1	Team2	Score2
PHI	85	MIN	77
TOR	123	UTA	104
ORL	86	LAC	114
CLE	90	NYK	87
IND	82	POR	88
NOP	85	GSW	112
NYK	102	CHA	103
OKC	103	PHI	91
DEN	89	WAS	119
LAL	96	BOS	113
ATL	98	BKN	75
CLE	105	TOR	91
SAS	107	MEM	101
HOU	114	MIN	112
PHX	118	DAL	106
MIA	85	MIL	109
ORL	98	UTA	93
IND	101	SAC	102
PHI	108	DET	101
GSW	112	CHI	102
PHX	95	HOU	100
MIN	101	SAS	123
ORL	105	SAC	96
NOP	100	LAC	120
WAS	93	BOS	101
DEN	84	ATL	96
MIA	87	MEM	103
OKC	96	DET	94
MIL	102	DAL	125
POR	103	NYK	99
NOP	104	LAL	87
ATL	108	IND	92
BOS	132	WAS	133
CLE	110	BKN	88
DEN	107	TOR	112
GSW	102	MIN	86
UTA	92	SAC	101
PHX	120	LAC	121
TOR	101	CLE	105
POR	98	DET	86
DAL	105	MEM	114
NYK	93	NOP	104
MIL	101	OKC	114
MIA	103	PHX	97
SAS	96	UTA	100
SAC	95	LAL	98
BOS	87	CHA	96
LAC	103	IND	96
WAS	91	ORL	89
PHI	79	ATL	95
BKN	80	CHI	105
POR	82	MIN	90
NOP	107	DAL	112
NYK	95	SAS	109
HOU	93	GSW	105
MIA	82	DEN	102
CLE	94	OKC	103
HOU	113	SAC	109
POR	106	CHI	115
LAC	96	WAS	104
ORL	81	ATL	87
NYK	101	BOS	95
PHI	70	BKN	88
IND	94	TOR	106
CHA	107	MEM	113
OKC	111	MIN	92
CLE	114	NOP	119
DET	105	PHX	103
MIA	100	UTA	95
LAL	112	SAS	110
GSW	105	DAL	98
BKN	114	CHA	87
POR	95	IND	85
ATL	99	ORL	100
LAC	106	MIL	111
MEM	120	PHI	115
DEN	96	HOU	108
DET	95	SAC	90
GSW	128	NOP	122
CHI	93	MIA	75
UTA	84	WAS	93
LAL	100	MIN	94
PHX	88	OKC	112
TOR	95	NYK	90
SAS	99	DEN	91
CHA	88	CLE	97
LAL	91	IND	110
BOS	105	PHI	87
CHI	86	ATL	93
ORL	82	TOR	95
MIL	96	PHX	94
SAS	95	POR	108
DET	91	LAC	113
MIN	95	WAS	109
MIA	95	BKN	91
GSW	98	MEM	105
UTA	111	NOP	119
DAL	107	NYK	87
OKC	104	SAC	92
PHX	111	CHA	106
ATL	127	CLE	98
ORL	92	BOS	109
DAL	117	DET	106
UTA	105	MIA	87
BKN	89	TOR	105
MEM	117	SAS	116
MIL	97	POR	104
IND	100	LAC	102
HOU	115	DEN	111
NYK	97	CHI	103
NOP	99	HOU	90
MIL	108	SAC	107
OKC	109	GSW	114
UTA	101	ORL	94
CHA	109	PHI	91
MIN	98	BOS	114
BKN	91	CLE	95
TOR	110	DET	100
WAS	105	MIA	103
CHI	103	MEM	97
POR	129	SAS	119
LAC	106	DEN	109
OKC	104	LAL	103
PHX	99	NYK	90
POR	114	NOP	88
UTA	86	CHA	104
ATL	104	HOU	97
SAS	93	DAL	99
IND	73	DEN	76
MIL	102	LAC	106
NYK	108	TOR	118
MEM	91	CLE	105
LAL	101	SAC	108
DET	105	BKN	110
BOS	84	MIA	100
PHI	96	ORL	88
PHX	104	WAS	92
IND	100	MIN	96
NOP	101	OKC	99
DEN	82	CHA	110
TOR	120	CHI	129
POR	95	HOU	110
UTA	97	MEM	91
ATL	105	DAL	102
LAC	118	SAS	125
SAC	108	GSW	128
MIN	104	CLE	125
NOP	84	IND	96
BOS	95	ORL	100
CHI	99	WAS	91
LAC	104	ATL	107
DEN	96	BKN	102
PHI	91	MIA	87
CHA	108	MIL	101
POR	115	OKC	111
DAL	115	PHX	124
GSW	105	LAL	115
