Team1	Score1	Team2	Score2
ORL	87	IND	97
LAC	103	LAL	116
CHI	95	MIA	107
BRK	94	CLE	98
ATL	109	DAL	118
WAS	102	DET	113
LAL	94	GSW	125
CHA	83	HOU	96
ORL	115	MIN	120
IND	95	NOP	90
MIL	83	NYK	90
MIA	110	PHI	114
POR	91	PHO	104
DEN	88	SAC	90
MEM	94	SAS	101
BOS	87	TOR	93
OKC	101	UTA	98
NYK	81	CHI	82
GSW	115	LAC	126
TOR	95	ATL	102
MIL	105	BOS	98
MIA	100	BRK	101
CLE	84	CHA	90
POR	113	DEN	98
DAL	105	HOU	113
SAS	91	LAL	85
DET	108	MEM	111
OKC	81	MIN	100
NOP	90	ORL	110
UTA	84	PHO	87
LAC	110	SAC	101
PHI	109	WAS	102
MEM	99	DAL	111
SAC	87	GSW	98
CLE	74	IND	89
TOR	97	MIL	90
CHA	84	NOP	105
CHI	104	PHI	107
SAS	105	POR	115
HOU	104	UTA	93
BOS	77	DET	87
ATL	103	LAL	105
WAS	93	MIA	103
MIN	109	NYK	100
PHO	96	OKC	103
BRK	86	ORL	107
MIN	92	CLE	93
HOU	118	LAC	137
BOS	88	MEM	95
GSW	110	PHI	90
UTA	88	BRK	104
LAL	104	DAL	123
SAS	102	DEN	94
IND	99	DET	91
PHO	104	NOP	98
CHA	102	NYK	97
HOU	116	POR	101
ATL	105	SAC	100
MIA	104	TOR	95
UTA	87	BOS	97
TOR	90	CHA	92
CHI	80	IND	97
NOP	99	MEM	84
CLE	104	MIL	109
GSW	106	MIN	93
DAL	93	OKC	107
LAC	90	ORL	98
WAS	116	PHI	102
PHO	96	SAS	99
ATL	107	DEN	109
LAL	99	HOU	98
LAC	97	MIA	102
NYK	101	CHA	91
UTA	73	CHI	97
OKC	119	DET	110
TOR	84	IND	91
DAL	108	MIN	116
LAL	85	NOP	96
BOS	91	ORL	89
CLE	79	PHI	94
DEN	103	PHO	114
SAC	91	POR	104
GSW	74	SAS	76
BRK	108	WAS	112
ORL	94	ATL	104
IND	96	BRK	91
PHI	125	CLE	127
LAC	107	HOU	94
GSW	90	MEM	108
BOS	111	MIA	110
DAL	91	MIL	83
POR	96	SAC	85
UTA	91	TOR	115
MIN	113	LAL	90
SAS	120	NYK	89
WAS	105	OKC	106
NOP	94	PHO	101
ORL	105	BOS	120
ATL	103	CHA	94
CLE	81	CHI	96
TOR	104	HOU	110
MEM	79	IND	95
MIN	107	LAC	109
SAS	109	PHI	85
DET	103	POR	109
DEN	100	UTA	81
WAS	95	DAL	105
DET	95	GSW	113
NOP	95	LAL	116
MIL	95	MIA	118
NYK	95	ATL	91
CHA	89	BOS	83
LAL	99	DEN	111
OKC	103	LAC	111
TOR	103	MEM	87
