Team1	Score1	Team2	Score2
CLE	95	MIN	124
MIL	91	ORL	94
HOU	117	PHI	123
PHO	89	POR	90
BRK	86	SAC	107
WAS	79	SAS	92
NOP	105	UTA	111
OKC	115	GSW	116
HOU	109	NYK	106
PHI	103	ATL	113
POR	109	BOS	96
CHA	86	CLE	80
MIN	113	DEN	117
MIL	77	IND	104
MEM	89	LAL	86
DAL	104	MIA	110
BRK	100	PHO	98
DET	97	SAC	90
CHI	96	TOR	80
SAS	91	UTA	82
MIA	97	CHA	81
IND	94	CHI	110
UTA	88	GSW	102
DEN	111	HOU	122
BRK	103	LAC	110
OKC	92	MIL	79
BOS	88	MIN	106
PHI	98	NOP	135
ATL	110	NYK	90
DAL	108	ORL	100
CLE	103	WAS	96
DET	99	LAL	114
MEM	97	SAC	86
POR	118	TOR	110
POR	108	BRK	98
CHA	81	CHI	86
PHI	94	DAL	97
MEM	106	LAC	102
DEN	113	OKC	115
GSW	98	UTA	87
NYK	86	DET	92
BOS	85	HOU	109
ATL	88	MIA	104
PHO	104	SAC	107
MIN	100	WAS	104
DET	85	ATL	93
BRK	91	CHA	95
WAS	98	CLE	91
HOU	120	DAL	123
MEM	88	GSW	81
POR	91	MIL	82
LAC	102	MIN	98
UTA	98	NOP	105
IND	103	NYK	96
MIA	120	ORL	92
TOR	108	PHI	98
SAC	113	PHO	106
BOS	93	SAS	104
CHI	87	DEN	97
LAC	91	OKC	105
IND	97	BOS	82
PHO	98	CHA	91
UTA	93	DAL	103
ATL	96	DET	89
GSW	95	LAL	102
SAS	102	MEM	86
BRK	81	MIN	111
CLE	100	NOP	104
MIL	107	PHI	115
CHI	95	POR	98
WAS	88	TOR	96
BOS	94	ATL	87
DAL	100	DEN	102
POR	113	GSW	101
MIN	101	HOU	112
PHI	98	IND	106
SAC	102	LAC	103
ORL	99	MIA	101
CHA	96	MIL	72
CLE	96	SAS	126
NYK	89	WAS	98
DET	109	BRK	97
CHI	82	LAC	121
SAC	86	LAL	100
UTA	73	OKC	95
PHO	104	ORL	96
BOS	96	CHA	86
DEN	110	DAL	96
MIL	94	DET	113
MIN	84	IND	98
HOU	93	MEM	86
PHO	92	MIA	107
NYK	91	POR	102
NOP	93	SAS	112
CHI	83	UTA	89
ORL	109	ATL	92
GSW	102	NOP	101
BRK	102	TOR	100
LAL	111	WAS	116
MEM	100	BOS	93
LAL	99	BRK	94
IND	99	CHA	74
MIA	95	CLE	84
GSW	99	DAL	103
CHI	99	DET	79
ATL	84	HOU	113
NYK	80	LAC	93
WAS	100	MIL	92
DEN	117	MIN	110
SAS	88	OKC	94
PHI	94	ORL	105
POR	106	PHO	120
DAL	87	ATL	88
CLE	86	BOS	103
MIL	76	CHA	92
NYK	95	DEN	97
LAL	106	DET	102
BRK	95	HOU	114
WAS	73	IND	93
GSW	112	OKC	113
SAS	109	ORL	91
NOP	121	PHI	105
LAC	104	SAC	98
MIA	90	TOR	83
PHO	112	UTA	101
CHI	93	CLE	97
MIN	112	DAL	106
BRK	97	MEM	88
BOS	85	MIL	92
UTA	112	PHO	104
HOU	112	SAS	106
ATL	101	WAS	108
PHI	100	DET	115
IND	105	LAC	100
POR	114	LAL	108
CHA	98	MIA	99
NOP	103	NYK	99
MIN	103	OKC	113
GSW	115	SAC	113
DEN	112	TOR	98
NOP	131	CHI	128
IND	102	POR	106
ATL	100	SAS	102
HOU	103	UTA	109
ORL	80	WAS	98
MIL	100	BOS	108
DEN	111	BRK	87
CHA	82	DAL	89
TOR	103	GSW	112
PHO	91	MEM	110
DET	107	MIA	97
ORL	125	PHI	126
OKC	97	SAC	95
LAC	97	ATL	107
DEN	88	CLE	98
PHO	97	HOU	88
DET	105	MIL	98
DAL	100	NOP	97
OKC	104	POR	111
IND	95	UTA	86
NYK	113	BRK	83
MIA	87	CHI	107
LAC	101	MEM	81
CLE	89	ATL	108
DEN	98	BOS	106
PHI	88	CHA	105
GSW	83	HOU	105
OKC	109	NOP	95
ORL	83	NYK	121
TOR	97	PHO	106
UTA	98	POR	130
LAL	106	SAC	100
MIL	109	WAS	105
DET	92	CHI	75
LAC	82	CLE	88
GSW	108	MEM	82
BRK	90	MIL	82
MIA	103	MIN	82
DEN	103	PHI	92
DAL	108	POR	106
IND	111	SAS	100
SAC	112	UTA	102
MIA	110	DET	95
ORL	88	HOU	98
TOR	106	LAL	94
BOS	114	NYK	73
IND	94	OKC	118
GSW	111	CHA	115
ORL	85	MEM	94
LAC	94	PHI	83
DAL	97	SAC	112
POR	105	UTA	94
DEN	75	WAS	74
OKC	101	ATL	92
BOS	96	BRK	104
MIL	78	CHI	74
NYK	94	CLE	109
MIN	121	DET	94
MIA	84	IND	90
PHO	114	LAL	108
SAS	116	TOR	103
LAC	96	BOS	88
ORL	92	CHA	83
DAL	93	GSW	95
OKC	116	MEM	100
SAS	109	MIL	77
PHI	99	MIN	106
DET	106	NOP	111
CHI	78	NYK	83
UTA	122	SAC	101
LAC	93	BRK	102
HOU	104	POR	111
WAS	99	ATL	101
NYK	86	BOS	90
UTA	103	DEN	93
BRK	99	DET	103
HOU	116	GSW	112
CHA	94	IND	99
CHI	91	MIL	90
MEM	98	NOP	104
LAL	97	OKC	122
CLE	109	ORL	100
SAC	107	PHO	116
MIN	110	SAS	117
PHI	100	TOR	108
LAL	88	CHA	85
TOR	99	CHI	77
MIL	93	DAL	106
CLE	107	MIA	114
ATL	106	NYK	111
POR	139	PHI	105
SAS	100	UTA	84
LAC	113	WAS	97
NOP	93	DEN	102
POR	111	DET	109
MIN	101	MEM	93
ORL	98	OKC	101
GSW	102	PHO	106
HOU	91	SAC	106
LAL	100	ATL	114
MIN	97	BOS	101
PHI	94	BRK	130
ORL	83	CHI	82
DET	101	IND	96
SAS	92	LAC	115
UTA	94	MIA	117
WAS	102	NYK	101
SAC	87	CHA	95
POR	119	CLE	116
OKC	105	DEN	93
NOP	93	GSW	104
LAL	96	MEM	92
SAC	107	ATL	124
DET	107	BOS	106
WAS	113	BRK	107
MEM	91	DAL	105
CHI	94	HOU	109
NOP	95	LAC	108
IND	94	MIA	97
NYK	107	MIL	101
POR	109	MIN	120
UTA	86	ORL	82
SAS	108	PHO	101
CHA	104	TOR	102
SAS	104	GSW	102
CHI	95	OKC	107
UTA	85	ATL	118
MIL	111	CLE	114
TOR	109	DAL	108
PHO	103	DEN	99
CHA	116	DET	106
HOU	81	IND	114
MIN	91	LAL	104
SAC	103	MIA	122
BRK	120	PHI	121
WAS	106	BOS	99
UTA	88	CHA	85
CLE	84	CHI	100
HOU	114	DET	97
LAL	83	GSW	102
DEN	91	LAC	112
PHI	106	MIL	116
MEM	95	NYK	87
SAC	105	ORL	100
DAL	108	PHO	123
NOP	107	POR	110
OKC	113	SAS	100
BOS	79	IND	106
MIN	116	LAC	120
TOR	104	OKC	98
IND	103	BRK	86
MIL	110	CHA	111
DET	115	CLE	92
GSW	89	DEN	81
DAL	111	HOU	104
UTA	94	MEM	104
ATL	119	MIA	121
NYK	103	ORL	98
LAL	90	PHO	117
NOP	113	SAC	100
TOR	99	SAS	112
CHI	95	BRK	78
LAC	103	GSW	105
MIA	101	LAL	95
OKC	123	NYK	94
HOU	111	SAS	98
ATL	127	CLE	125
SAS	116	DAL	107
MEM	92	HOU	100
LAC	112	POR	116
MIL	93	BRK	104
OKC	89	CHA	85
PHO	86	GSW	115
WAS	98	MIN	120
DEN	89	NOP	105
TOR	95	NYK	83
DET	92	ORL	109
MIA	103	SAC	108
LAL	103	UTA	105
CHA	116	ATL	118
CLE	100	BOS	103
DAL	105	CHI	83
NOP	98	HOU	107
BRK	91	IND	105
UTA	90	LAC	98
DEN	99	MEM	120
MIN	117	MIL	95
PHI	101	PHO	115
MIA	108	POR	107
NYK	100	TOR	115
DET	82	WAS	106
GSW	108	CLE	104
PHI	111	LAL	104
HOU	86	OKC	117
ATL	102	ORL	109
SAC	104	SAS	112
MIA	97	DEN	94
WAS	106	DET	99
PHO	107	LAC	88
CHI	95	MEM	91
DAL	100	MIN	98
POR	108	NOP	110
CHA	80	UTA	83
ATL	92	BOS	91
TOR	85	CHI	79
SAC	110	HOU	106
CLE	76	IND	91
MIL	94	LAL	79
POR	98	OKC	94
GSW	94	ORL	81
BRK	92	SAS	113
PHI	114	DEN	102
CHA	85	LAC	112
NOP	112	MIN	124
IND	82	TOR	95
DAL	87	WAS	78
BOS	82	CHI	94
ORL	81	CLE	87
GSW	123	MIA	114
BRK	95	OKC	93
MEM	99	PHO	91
CHA	104	POR	134
PHI	113	SAC	104
NYK	105	SAS	101
MIL	87	UTA	96
GSW	101	ATL	100
NOP	95	BOS	92
LAC	119	DAL	112
MEM	108	DEN	111
NYK	100	HOU	102
UTA	99	LAL	110
TOR	101	WAS	88
CLE	82	BRK	89
ATL	84	CHI	91
NOP	82	IND	99
OKC	115	MIN	111
MIA	110	ORL	94
MIL	100	PHO	116
PHI	101	POR	99
CHA	113	SAC	103
LAC	92	SAS	116
IND	82	CLE	78
NYK	92	DAL	80
MEM	112	DET	84
DEN	137	LAL	115
TOR	97	MIA	102
BOS	96	OKC	119
GSW	112	WAS	96
ATL	86	BRK	91
ORL	81	LAC	101
MIN	126	PHI	95
WAS	97	CHA	83
PHO	87	CHI	92
PHI	93	CLE	111
LAL	97	DAL	110
BOS	98	DEN	129
TOR	79	IND	86
SAS	110	MEM	108
NOP	88	MIA	107
GSW	101	MIL	80
DET	85	NYK	89
POR	119	SAC	123
OKC	101	UTA	112
IND	87	ATL	97
GSW	98	BRK	102
LAL	99	HOU	113
BOS	105	LAC	111
PHO	104	MIN	103
WAS	102	NOP	96
ORL	94	POR	110
DAL	90	SAS	112
DET	91	TOR	112
OKC	88	DEN	101
MIA	92	NYK	102
HOU	80	ATL	83
MIA	95	BRK	104
BOS	97	GSW	99
WAS	66	IND	93
LAL	87	LAC	123
PHO	99	MEM	104
CHI	81	MIL	72
CHA	92	MIN	119
DAL	107	NOP	90
DET	114	PHI	104
ORL	83	SAC	103
CLE	113	UTA	102
CHA	97	CHI	103
NOP	107	DAL	110
ORL	94	DEN	120
PHO	108	DET	110
MIL	85	OKC	101
NYK	102	PHI	92
BOS	104	POR	112
BRK	80	TOR	96
HOU	114	WAS	107
ATL	101	MEM	108
CLE	80	SAC	124
MIN	86	SAS	104
HOU	104	BOS	92
WAS	102	CHI	88
ORL	88	DAL	107
SAS	101	NOP	95
PHO	96	NYK	98
MIL	94	TOR	116
DEN	103	UTA	118
NYK	98	CHA	108
SAC	92	IND	116
CLE	120	LAL	118
OKC	87	MEM	90
TOR	83	BOS	88
DEN	123	GSW	116
DAL	127	LAC	129
MEM	82	MIL	77
SAC	111	MIN	108
HOU	103	NOP	100
CHI	128	ORL	125
CHA	92	PHI	95
LAL	114	PHO	121
CLE	96	POR	108
UTA	105	SAS	109
MIA	97	WAS	114
BRK	127	ATL	110
OKC	104	HOU	92
NYK	89	IND	117
LAL	107	BOS	104
CLE	117	DEN	109
UTA	110	DET	89
SAC	90	MEM	91
LAC	109	NYK	95
GSW	121	OKC	127
CHA	111	ORL	101
MIA	101	PHI	86
DAL	110	PHO	107
POR	109	SAS	100
MIN	89	TOR	94
CHI	93	WAS	96
MIA	104	CHA	96
PHI	78	CHI	103
POR	127	DAL	111
MIL	104	HOU	114
LAC	92	IND	106
UTA	72	MIN	98
GSW	97	NOP	87
DET	104	WAS	98
SAC	93	OKC	108
BOS	91	ORL	93
DEN	103	PHO	117
MIL	82	SAS	110
LAL	112	TOR	106
MIA	114	ATL	121
TOR	95	CHA	100
LAL	100	CHI	102
DAL	102	CLE	97
LAC	112	DET	103
IND	102	GSW	94
POR	113	HOU	126
NOP	95	MEM	92
BRK	103	NYK	80
PHI	99	WAS	107
ORL	90	BRK	101
BOS	86	MIA	93
SAC	114	NOP	97
POR	97	OKC	105
MIN	112	UTA	97
LAC	91	CHA	95
CHI	98	CLE	87
SAC	98	HOU	119
DET	101	MIL	104
PHI	110	NYK	106
ATL	112	ORL	109
IND	100	PHO	124
OKC	111	SAS	105
DAL	85	TOR	93
BOS	113	WAS	111
LAL	102	MIA	109
DEN	105	POR	110
SAS	105	ATL	79
OKC	101	BOS	83
DAL	106	BRK	107
LAC	112	CHI	95
MIL	78	CLE	93
NOP	103	DET	101
MIN	121	GSW	120
MEM	88	HOU	87
CHA	96	NYK	125
LAL	105	ORL	114
TOR	104	PHI	95
WAS	101	PHO	95
IND	116	SAC	111
CHI	89	CHA	87
IND	96	DEN	109
HOU	81	MEM	99
ATL	112	MIL	87
OKC	103	PHI	91
MIN	104	POR	115
LAC	126	TOR	118
WAS	101	UTA	104
BRK	85	BOS	79
PHO	99	CLE	90
DET	106	DAL	116
POR	88	GSW	103
SAS	101	MIA	113
ORL	92	NOP	100
LAL	103	NYK	110
DEN	125	SAC	117
TOR	104	BRK	103
MIN	95	CHI	86
LAC	114	MIL	86
ATL	109	OKC	111
PHO	124	PHI	113
SAC	99	UTA	106
NOP	100	CLE	89
ORL	87	DET	103
WAS	88	GSW	85
SAS	90	HOU	97
IND	104	LAL	92
BOS	88	NYK	114
MEM	98	POR	81
PHI	95	BOS	94
HOU	117	DAL	115
CHA	101	DEN	98
WAS	103	LAC	110
OKC	112	MIA	95
PHO	126	MIL	117
NOP	77	MIN	88
MEM	99	SAC	89
CHI	96	SAS	86
ORL	83	TOR	98
LAC	92	GSW	111
PHO	102	IND	94
CLE	86	NYK	117
OKC	120	BRK	95
SAC	103	DAL	107
TOR	100	DEN	90
CHA	110	LAL	100
MEM	94	MIN	90
MIL	102	ORL	113
ATL	125	PHI	99
GSW	95	UTA	90
MIN	113	ATL	120
PHI	96	DET	113
CLE	92	HOU	106
BRK	96	IND	97
UTA	87	LAC	102
MIL	90	MEM	99
CHI	79	NOP	88
MIA	106	NYK	91
CHA	95	PHO	105
TOR	103	POR	106
SAC	93	SAS	95
OKC	81	WAS	96
ORL	89	BOS	96
PHI	102	BRK	108
CLE	107	DAL	124
LAC	115	DEN	116
ORL	79	IND	98
DET	96	MIA	102
NYK	98	MIL	101
SAS	102	NOP	95
MEM	77	OKC	86
CHI	70	SAC	99
TOR	94	UTA	79
POR	90	WAS	100
IND	89	ATL	85
CHA	91	GSW	75
LAL	99	MIN	109
CHI	101	PHO	92
LAL	119	CLE	108
MIL	100	DEN	110
PHO	108	HOU	122
MIA	116	LAC	112
DAL	110	MEM	96
ATL	100	NOP	105
POR	94	NYK	90
MIN	97	OKC	106
DET	98	ORL	112
BOS	114	PHI	108
TOR	101	SAC	109
SAS	125	WAS	118
SAS	89	BRK	103
CHI	87	GSW	102
SAC	89	BOS	99
UTA	81	DAL	103
BRK	95	DET	111
POR	113	IND	118
TOR	105	LAC	118
MIN	91	NOP	98
DEN	90	NYK	117
OKC	102	ORL	103
LAL	112	PHI	98
CLE	115	WAS	113
MEM	79	ATL	76
SAS	104	CHA	100
DEN	109	DET	126
HOU	101	MIL	95
POR	117	MIN	110
GSW	109	PHO	122
MIA	89	UTA	94
DAL	102	BOS	91
NOP	81	BRK	93
MEM	83	CLE	91
PHI	78	LAC	123
CHI	92	LAL	86
NYK	100	OKC	112
IND	92	ORL	93
SAC	84	WAS	93
SAS	100	DET	109
PHI	80	GSW	123
DEN	80	IND	119
BOS	102	MIL	86
HOU	107	MIN	89
NOP	101	TOR	108
DAL	89	CHA	114
ATL	85	CHI	100
SAC	99	CLE	109
UTA	96	LAL	79
WAS	89	MEM	92
MIA	103	PHO	97
OKC	98	POR	95
SAS	104	BOS	92
CHA	89	BRK	105
CLE	93	DET	89
MIA	111	GSW	110
WAS	112	HOU	113
DAL	81	IND	73
POR	117	LAC	122
NOP	102	MIL	98
DEN	90	MIN	117
SAC	106	NYK	101
MEM	86	ORL	81
ATL	83	TOR	104
PHI	100	UTA	105
BRK	76	CHI	92
OKC	107	LAL	103
MIA	117	DAL	106
PHO	112	DEN	107
CHA	108	DET	96
ATL	98	IND	108
SAS	113	LAC	103
NYK	93	MEM	98
ORL	100	MIL	104
CLE	114	PHI	85
TOR	103	WAS	93
WAS	114	ATL	97
DET	98	CHA	116
ORL	93	CLE	101
HOU	134	LAL	108
IND	91	MIN	104
NYK	98	NOP	91
BOS	94	PHO	100
SAS	111	POR	109
GSW	101	SAC	92
CHI	94	TOR	92
BRK	105	UTA	99
HOU	99	GSW	102
DEN	101	MIL	90
MIA	103	OKC	81
NOP	87	CHA	90
DEN	89	CHI	117
ATL	107	DET	115
BOS	92	LAL	101
LAC	96	MEM	102
NYK	121	ORL	129
DAL	124	PHI	112
SAS	85	PHO	106
UTA	94	POR	102
CLE	91	TOR	98
NYK	98	ATL	107
MEM	89	CHA	92
DAL	113	DET	102
BRK	86	GSW	93
IND	110	MIL	100
BOS	98	SAC	105
MIN	121	UTA	104
NOP	93	WAS	94
WAS	96	CLE	83
SAC	109	DEN	95
BRK	108	LAL	102
CHI	79	MIA	93
LAC	125	OKC	117
HOU	115	PHO	112
MIN	97	POR	108
ORL	90	TOR	105
GSW	104	DET	96
LAC	123	NOP	110
DAL	110	NYK	108
MIL	130	PHI	110
BOS	98	UTA	110
CHI	107	ATL	103
TOR	99	CLE	93
POR	100	DEN	95
LAL	98	IND	118
MIN	110	PHO	101
HOU	129	SAC	103
ORL	106	WAS	115
ATL	104	BOS	115
GSW	83	CHI	103
NOP	89	DAL	108
HOU	93	LAC	101
LAL	103	MEM	108
CLE	114	OKC	104
ORL	101	PHI	90
BRK	80	POR	124
DET	110	SAS	120
PHO	86	UTA	109
BRK	112	DEN	89
MIL	96	IND	101
NYK	82	MIA	108
WAS	134	TOR	129
UTA	79	CLE	99
CHI	100	DAL	91
SAC	122	LAL	126
GSW	126	NYK	103
MEM	107	OKC	113
NOP	104	PHO	116
CHA	82	SAS	92
IND	102	BOS	97
DET	110	HOU	118
NOP	76	LAC	108
CLE	96	MEM	110
ORL	98	MIA	112
BRK	107	MIL	98
WAS	122	PHI	103
DEN	96	POR	102
MIN	108	SAC	97
NYK	90	CHI	109
UTA	91	IND	94
CHA	99	OKC	116
PHI	81	ORL	92
ATL	120	PHO	129
DAL	106	SAS	112
GSW	98	TOR	104
CHI	80	BRK	96
MIN	132	DEN	128
NYK	85	DET	96
CHA	107	MIA	124
UTA	88	MIL	114
LAL	107	POR	106
NOP	89	SAC	96
MEM	110	WAS	104
SAS	122	CLE	101
MIA	103	HOU	106
GSW	98	IND	96
NOP	132	LAL	125
PHI	92	OKC	125
LAC	104	PHO	96
GSW	108	BOS	88
MEM	94	BRK	103
IND	87	CHA	109
DAL	110	DEN	115
CHI	105	DET	94
SAC	116	MIL	102
NYK	118	MIN	106
HOU	101	ORL	89
ATL	78	POR	102
UTA	91	WAS	104
LAC	142	LAL	94
OKC	122	PHO	128
MIA	87	SAS	111
BRK	84	BOS	91
CLE	92	CHA	101
MEM	85	CHI	77
POR	98	DAL	103
LAL	126	DEN	134
ATL	97	GSW	111
IND	86	HOU	112
DET	101	MIN	114
MIL	104	NOP	112
UTA	81	NYK	108
SAC	87	TOR	99
NYK	107	CLE	97
ATL	108	LAC	109
CHA	89	MEM	111
WAS	114	MIL	107
UTA	104	PHI	92
ORL	112	SAS	121
DET	111	BOS	118
SAC	89	BRK	104
MIA	88	CHI	95
IND	94	DAL	105
PHO	107	GSW	113
POR	113	HOU	118
OKC	110	LAL	114
TOR	111	MIN	104
DEN	107	NOP	111
TOR	97	BRK	101
DEN	98	CHA	105
PHO	105	LAC	112
WAS	90	MIA	99
ORL	98	MIL	105
PHI	110	NYK	123
ATL	112	UTA	110
SAS	104	CHI	96
SAC	89	DET	99
DAL	85	GSW	108
BOS	83	IND	94
POR	99	MEM	109
MIL	101	MIN	112
HOU	98	OKC	106
NYK	116	BOS	92
GSW	98	LAC	111
BRK	96	MIA	95
MEM	90	NOP	88
DEN	120	ORL	112
SAC	115	PHI	98
CLE	110	PHO	101
POR	90	SAS	103
DET	87	TOR	101
DAL	108	UTA	101
CHA	98	WAS	85
MIL	97	ATL	102
HOU	87	CHI	111
LAL	102	OKC	131
PHO	87	BOS	80
MIN	93	CHA	105
CLE	103	GSW	94
DEN	111	MIA	107
POR	111	NOP	103
WAS	105	ORL	101
IND	101	PHI	94
LAL	85	SAS	119
MEM	86	TOR	99
LAC	96	UTA	87
DEN	92	ATL	97
SAC	87	CHI	94
IND	112	DET	104
MIL	94	NYK	115
MEM	103	PHI	77
BRK	94	WAS	101
CLE	80	LAC	102
HOU	104	MIA	113
CHA	101	MIL	92
SAC	102	MIN	104
BOS	120	NOP	121
DAL	109	OKC	86
GSW	113	POR	112
UTA	104	SAS	122
PHO	121	TOR	113
PHO	95	BRK	108
ATL	97	CHA	83
OKC	97	CHI	85
BOS	89	DAL	94
LAC	100	DEN	110
UTA	86	HOU	124
PHI	90	IND	99
TOR	113	ATL	118
MIA	100	CLE	96
ORL	89	GSW	103
MIL	115	POR	120
WAS	111	SAC	117
MIA	96	BOS	101
CHA	99	BRK	104
MIN	123	DAL	122
DET	109	DEN	118
SAS	125	LAL	109
UTA	86	MEM	96
TOR	107	NOP	100
IND	86	NYK	92
CHI	102	PHI	94
ORL	93	PHO	109
OKC	102	CLE	95
MIL	110	GSW	115
MIN	106	HOU	129
WAS	103	POR	116
NOP	111	ATL	105
BOS	98	BRK	114
DEN	106	DAL	122
CHI	79	IND	91
WAS	117	LAL	107
MEM	86	MIA	91
NYK	93	PHI	92
DET	92	PHO	98
SAS	99	SAC	79
OKC	119	TOR	118
POR	94	CHA	124
PHI	81	CHI	91
HOU	118	CLE	111
SAS	99	GSW	90
DET	103	LAC	112
IND	71	MEM	82
MIA	95	NOP	105
ORL	88	UTA	89
BRK	107	DAL	104
WAS	102	DEN	105
ORL	94	LAL	103
PHO	127	MIN	120
CLE	106	NYK	100
MIL	107	SAC	124
ATL	86	TOR	96
PHO	102	ATL	95
HOU	100	CHA	89
IND	77	CHI	89
MIL	98	LAC	106
MIN	92	MEM	109
POR	91	MIA	93
BRK	104	NOP	109
DEN	96	OKC	117
PHI	91	SAS	113
DET	114	UTA	94
TOR	100	CLE	102
OKC	119	DAL	128
NYK	96	LAL	127
POR	85	ORL	95
TOR	99	BOS	90
BRK	111	CHA	116
CLE	97	DET	96
MIA	83	IND	84
ATL	83	MIN	107
LAC	96	NOP	98
NYK	107	SAC	99
DEN	103	SAS	108
MEM	91	UTA	87
PHO	99	WAS	93
POR	100	ATL	85
LAC	109	DAL	103
PHI	98	HOU	120
LAL	105	MIL	108
CLE	97	BRK	108
POR	91	CHI	74
SAS	133	DEN	102
MIA	110	DET	78
MEM	93	GSW	100
LAL	107	MIN	143
UTA	95	NOP	102
SAC	81	OKC	94
CHA	105	ORL	110
NYK	88	PHO	112
BOS	103	TOR	105
IND	78	WAS	91
SAC	100	DAL	103
LAC	118	HOU	107
MIA	88	MIL	67
DET	98	PHI	123
NOP	80	SAS	96
ATL	97	WAS	101
CHI	107	BOS	102
MIN	99	BRK	114
IND	76	CLE	90
NYK	89	GSW	84
PHO	99	LAL	115
UTA	96	OKC	116
TOR	98	ORL	93
MEM	98	POR	105
PHI	95	ATL	103
WAS	94	CHA	100
BOS	80	CHI	94
MEM	94	DEN	92
MIL	111	DET	116
SAS	103	IND	77
TOR	83	MIA	93
LAC	114	MIN	104
SAC	102	NOP	97
NYK	92	UTA	83
HOU	96	BRK	105
GSW	122	DAL	120
POR	124	LAL	112
CHI	105	ATL	92
NOP	107	DEN	137
DET	94	IND	101
MIL	77	MIA	96
MEM	88	MIN	102
BRK	81	NYK	110
CLE	119	ORL	98
CHA	123	PHI	93
LAC	112	PHO	108
LAL	102	SAC	107
GSW	90	SAS	111
HOU	103	TOR	107
BOS	92	WAS	118
DAL	113	LAC	107
SAS	94	OKC	106
CLE	98	ATL	117
PHI	111	BOS	102
DET	104	BRK	116
ORL	80	CHA	91
MIL	90	CHI	102
SAC	69	GSW	102
OKC	107	HOU	111
DAL	107	LAL	95
DEN	92	MEM	100
MIN	122	MIA	121
WAS	90	NYK	89
PHO	109	POR	93
IND	94	TOR	102
NOP	96	UTA	100
CHA	96	CLE	94
BOS	111	DET	115
TOR	102	MIL	98
MIN	92	ORL	100
BRK	105	PHI	101
CHI	96	WAS	78
UTA	102	GSW	130
DEN	125	HOU	130
ATL	107	IND	88
LAL	97	LAC	120
NYK	91	MIA	102
OKC	115	PHO	122
NOP	94	POR	100
DAL	93	SAC	91
MEM	92	SAS	112
DET	102	ATL	95
HOU	145	LAL	130
BRK	88	MIA	87
SAS	91	MIN	110
OKC	107	SAC	92
DAL	95	UTA	83
BOS	97	ATL	105
DET	100	CLE	122
HOU	116	DEN	123
OKC	107	LAC	101
MIA	102	MEM	107
IND	104	MIL	102
CHI	102	MIN	87
PHO	94	NOP	88
BRK	111	ORL	115
SAC	99	POR	100
PHI	114	TOR	125
CHA	94	WAS	88
SAS	109	DAL	100
DEN	100	GSW	99
CHA	103	BOS	106
ATL	93	BRK	88
DET	98	CHI	106
GSW	112	LAL	95
PHI	95	MEM	117
IND	86	MIA	98
CLE	116	MIL	119
HOU	110	MIN	112
