Map	1-6	7-10	11-14	15-18
de_dust2	0.507	0.500	0.495	0.491
de_nuke	0.440	0.422	0.407	0.396
de_inferno	0.481	0.468	0.453	0.442
de_mirage	0.509	0.495	0.473	0.459
de_cbble	0.510	0.469	0.428	0.400
de_train	0.502	0.485	0.456	0.436
de_overpass	0.549	0.540	0.506	0.484
de_aztec	0.417	0.383	0.364	0.340
de_dust	0.438	0.413	0.396	0.388
de_vertigo	0.478	0.446	0.407	0.366
